"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE"
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",190,MCTI,"Ministério da Ciência, Tecnologia e Inovação",SIORG
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",23,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,23,CNEN,Comissão Nacional de Energia Nuclear,SIORG
190,MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",4,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,4,CNPQ,Conselho Nacional de Desenvolvimento Científico e Tecnológico,SIORG
138,MD,MINISTÉRIO DA DEFESA,112,FOSORIO,FUNDAÇÃO OSÓRIO,16100,F OSORIO,FUNDACAO OSORIO,SIAPE
138,MD,MINISTÉRIO DA DEFESA,138,MD,MINISTÉRIO DA DEFESA,40105,MD,MINISTERIO DA DEFESA,SIAPE
138,MD,MINISTÉRIO DA DEFESA,90,CFIAE,CAIXA DE FINANCIAMENTO IMOBILIÁRIO DA AERONÁUTICA,21201,CFIA,CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA,SIAPE
138,MD,MINISTÉRIO DA DEFESA,163,COMAER,COMANDO DA AERONÁUTICA,21000,C.AER,MINISTERIO DA AERONAUTICA,SIAPE
138,MD,MINISTÉRIO DA DEFESA,165,MB,COMANDO DA MARINHA,70000,CM,MINISTERIO DA MARINHA,SIAPE
138,MD,MINISTÉRIO DA DEFESA,164,C EX,COMANDO DO EXÉRCITO,16000,C.EX,MINISTERIO DO EXERCITO,SIAPE
138,MD,MINISTÉRIO DA DEFESA,138,MD,MINISTÉRIO DA DEFESA,40115,MD,MINISTERIO DA DEFESA,SIAPE
138,MD,MINISTÉRIO DA DEFESA,164,C EX,COMANDO DO EXÉRCITO,164,C EX,Comando do Exército,SIORG
138,MD,MINISTÉRIO DA DEFESA,112,FOSORIO,FUNDAÇÃO OSÓRIO,112,FOSORIO,Fundação Osório,SIORG
138,MD,MINISTÉRIO DA DEFESA,163,COMAER,COMANDO DA AERONÁUTICA,163,COMAER,Comando da Aeronáutica,SIORG
